window_start,window_end,P_coef_N,H_coef_N,var_red_N,P_coef_E,H_coef_E,var_red_E,P_coef_Z,H_coef_Z,var_red_Z,cc_zero_N_P,cc_max_N_P,cc_lag_N_P,cc_zero_N_H,cc_max_N_H,cc_lag_N_H,cc_zero_E_P,cc_max_E_P,cc_lag_E_P,cc_zero_E_H,cc_max_E_H,cc_lag_E_H,cc_zero_Z_P,cc_max_Z_P,cc_lag_Z_P,cc_zero_Z_H,cc_max_Z_H,cc_lag_Z_H
2024-03-01 00:00:00,2024-03-01 03:00:00,2.1388983046570567e-10,-2.3638527829983953e-12,89.46,-9.697076386093184e-11,1.1127577312828549e-11,57.14,-2.8913281587521584e-11,1.8871278037279175e-11,22.62,0.9457865461223088,0.9462093427527761,-4,-0.011597442071640138,-0.538763125241467,-100,-0.7510021183327736,-0.7643875998421575,-25,0.08704649120055463,0.5648930328521771,-100,-0.3983265135623484,-0.4669764410207806,100,0.2602862225326933,0.4383616932911914,-100
2024-03-01 04:30:00,2024-03-01 07:30:00,2.1758936413122152e-10,-3.78039138162542e-11,92.45,-9.995783694619937e-11,8.148032294296814e-11,72.92,-3.941413180725945e-11,-1.7665997124497766e-12,27.43,0.9473648533585954,0.9492980372503503,7,-0.16981698271214588,-0.5956769393046879,-100,-0.6633900604080993,-0.7919758217716871,100,0.5415839574334169,0.8161832586224914,-100,-0.5231938265059328,-0.5489405080948628,23,-0.020323478427356698,-0.28624490867803964,100
2024-03-01 03:00:00,2024-03-01 06:00:00,2.173637890552937e-10,-2.5698478811607787e-11,92.71,-9.834193726142805e-11,7.767241989083328e-11,64.27,-3.190171689978662e-11,-3.7336387582867955e-12,24.84,0.9562079375607807,0.9562079375607807,0,-0.11399986839938651,-0.5917322526771647,-100,-0.6293283633294487,-0.731339930510326,100,0.4972879341327018,0.7909572197554181,-100,-0.4950569892122275,-0.506677992189383,-25,-0.057409304078569784,-0.3325386374228005,100
2024-03-01 01:30:00,2024-03-01 04:30:00,2.27518029629715e-10,-2.1586726313607425e-11,93.6,-9.295569771373625e-11,3.24790803662775e-11,54.24,-2.8717928182240744e-11,1.7335236015214984e-11,16.74,0.9631182298159783,0.9634377731063632,3,-0.10213310332814941,-0.6379413825501454,-100,-0.6951324134639583,-0.6954416651400255,15,0.2506172023125026,0.6812854453897252,-100,-0.3498270466486112,-0.3994816558757067,69,0.2159804759445269,0.36640437976133866,-100
2024-03-01 09:00:00,2024-03-01 12:00:00,2.0562951937037173e-10,-3.0441288724582016e-11,59.97,-8.778180597436998e-11,6.775081368414076e-11,37.31,-4.9961618355313576e-11,1.1820963844309458e-11,8.55,0.7664729608886316,0.7691726240769999,10,-0.1067382661444824,-0.5059999727532427,-100,-0.48746560203510936,-0.65453708334958,91,0.3655653447438875,0.5387936888126363,-100,-0.28491680899119837,-0.3069489183289461,36,0.06450621165527867,0.1808802908754376,-100
2024-03-01 07:30:00,2024-03-01 10:30:00,2.0876719959376574e-10,-4.14397641232986e-11,67.12,-1.0705298912112282e-10,7.183740048028375e-11,48.16,-4.555982584633565e-11,4.2790438822683675e-12,8.35,0.8037275245102574,0.8102792509030391,15,-0.1569835416187809,-0.5990605797671598,-100,-0.5759754685082629,-0.7101073400159138,89,0.385748573294715,0.620910803105993,-100,-0.28767467946016007,-0.3004386350987204,-29,0.026282002498152976,0.18320194170049553,-100
2024-03-01 06:00:00,2024-03-01 09:00:00,2.2127521303336527e-10,-5.209139350815304e-11,87.31,-9.784064744796491e-11,4.7669419394054493e-11,51.69,-4.971151299230832e-11,1.4157658948260667e-11,10.63,0.9094784879762653,0.9151366306466213,8,-0.21269805764444197,-0.6515855026927673,-100,-0.6454228172943427,-0.7166197433219567,51,0.3157067724041766,0.6595469534162893,-100,-0.31334200007652196,-0.36899251222750923,28,0.08975805950420052,0.2346136178017907,-100
2024-03-01 10:30:00,2024-03-01 13:30:00,2.1248469957540054e-10,-1.0927034914271299e-11,68.19,-7.462652107244215e-11,5.335904009157306e-11,28.19,-4.181215213547164e-11,2.05053759093811e-11,13.43,0.8246821435016837,0.8263472883704162,-4,-0.04471905345431517,-0.4450356227527245,-100,-0.4321841122823501,-0.5977237614367564,98,0.30964173260872546,0.5675129817184967,-95,-0.3291282066307395,-0.4172410668689082,47,0.16220475817919125,0.2797315903086737,-100
2024-03-01 12:00:00,2024-03-01 15:00:00,2.2142744573176165e-10,-3.162872646238377e-12,53.72,-9.247858815197509e-11,2.567280451431207e-11,14.01,-9.781695787727639e-12,2.395101956576644e-11,2.55,0.732858914942635,0.7474999690775043,-7,-0.012870692440134475,-0.42271473331462933,-100,-0.3603594724350308,-0.5053133178683009,-18,0.10253725048741655,0.46705662965039946,-95,-0.06180808064845615,-0.20451661413204283,26,0.1473627659825386,0.19687780704982433,-100
2024-03-01 13:30:00,2024-03-01 16:30:00,2.1749794898795035e-10,-5.5796393188814034e-12,59.29,-1.3065830837816965e-10,4.3436299004675945e-11,36.94,1.7953465333296372e-11,4.373240932580015e-11,6.08,0.7697667450287236,0.7745896024735087,-7,-0.019312333151042815,-0.3948830939063233,-100,-0.5768693306549775,-0.6313221494990574,80,0.191178410631954,0.509228585496255,-100,0.09400225526667402,0.13274405020985677,-100,0.22798155748113647,0.24608842889884366,12
