window_start,window_end,P_coef_N,H_coef_N,var_red_N,P_coef_E,H_coef_E,var_red_E,P_coef_Z,H_coef_Z,var_red_Z,cc_zero_N_P,cc_max_N_P,cc_lag_N_P,cc_zero_N_H,cc_max_N_H,cc_lag_N_H,cc_zero_E_P,cc_max_E_P,cc_lag_E_P,cc_zero_E_H,cc_max_E_H,cc_lag_E_H,cc_zero_Z_P,cc_max_Z_P,cc_lag_Z_P,cc_zero_Z_H,cc_max_Z_H,cc_lag_Z_H
2024-03-01 00:00:00,2024-03-01 03:00:00,2.1361762204403896e-10,-2.376430426270641e-12,89.81,-9.691157637917712e-11,1.1483847248823082e-11,57.68,-2.8919618009221553e-11,1.9028068576182557e-11,38.96,0.9476256421201066,0.9480489313315642,-4,-0.01163379374616286,-0.539273426487485,-100,-0.7541687729594917,-0.7670373449739087,-25,0.09024171772397538,0.5689212254059652,-100,-0.521522129429065,-0.6114469678759256,100,0.34348807764102246,0.5759878898534476,-100
2024-03-01 04:30:00,2024-03-01 07:30:00,2.171988874502674e-10,-3.826737297579656e-11,94.69,-1.0051048484899885e-10,8.417429414340881e-11,80.84,-4.0839249866881615e-11,-2.1827945883873165e-12,46.79,0.9583951336059013,0.964372146354676,18,-0.17397147058101356,-0.6062984616112105,-100,-0.6909687894757458,-0.8258042287531365,100,0.579229694935883,0.8518059532254536,-100,-0.6830571738965202,-0.6831938860187382,5,-0.03253902034700051,-0.3637822446201284,100
2024-03-01 03:00:00,2024-03-01 06:00:00,2.17137410372301e-10,-2.6545952003878567e-11,94.86,-9.902207414438666e-11,7.963991016939693e-11,69.49,-3.236494775919406e-11,-3.9608971857251796e-12,40.61,0.9667544756996327,0.9679293619085624,7,-0.11922992801919027,-0.6007634358077826,-100,-0.6497846933467856,-0.7550433765076804,100,0.5228868485330327,0.8181803782224804,-100,-0.6325293024130552,-0.632637398476816,4,-0.07671041362951408,-0.41926480495670226,100
2024-03-01 01:30:00,2024-03-01 04:30:00,2.2749570511332171e-10,-2.1958438268863207e-11,94.81,-9.334459236729404e-11,3.316203872453617e-11,56.74,-2.9038095682248497e-11,1.7534340768002232e-11,31.06,0.9691422658761718,0.9703584505420528,7,-0.10390193729054359,-0.6419712872485508,-100,-0.7097410241392048,-0.7107352883868376,8,0.25963737071083903,0.6949276753685116,-100,-0.47646877052092657,-0.5407434661974925,70,0.29391692856077534,0.4986337377762849,-100
2024-03-01 06:00:00,2024-03-01 09:00:00,2.2033101934514874e-10,-5.2808956169079325e-11,92.16,-9.975382986560689e-11,5.476229751822224e-11,73.37,-5.558895872089895e-11,1.2920705616278523e-11,35.29,0.9334914592442062,0.9561027115724666,30,-0.22175193147600072,-0.6781721279436261,-100,-0.7494632400839569,-0.819341070872029,75,0.41295876739083925,0.7604129494880223,-100,-0.5782949252200253,-0.6006282189697274,43,0.1344762876029597,0.3977311174337815,-100
2024-03-01 07:30:00,2024-03-01 10:30:00,2.0846219267779047e-10,-4.133899827470391e-11,70.85,-1.0870812247163658e-10,7.580100694661217e-11,57.24,-4.733840248219078e-11,3.894207153218387e-12,41.5,0.8257718580079405,0.8395261867803198,25,-0.16102010271520165,-0.6170898662631542,-100,-0.6201886550321889,-0.7615619321292891,92,0.4317110598169264,0.6653505369109445,-100,-0.6420613768226144,-0.6421521461745789,3,0.05095923889315946,0.3942828830776069,-100
2024-03-01 09:00:00,2024-03-01 12:00:00,2.0547510100652057e-10,-3.0214387126213296e-11,64.43,-8.961656958197575e-11,7.229596291141031e-11,48.05,-5.1863676241250384e-11,1.1588198395864057e-11,44.58,0.794548230024753,0.8012021964217959,17,-0.11022898260873154,-0.5255031591524489,-100,-0.5441879896713065,-0.718721442879141,100,0.42692337792944557,0.597615400255203,-100,-0.6523116716886078,-0.6753112688518538,48,0.13954594071256274,0.4018093673863961,-100
2024-03-01 10:30:00,2024-03-01 13:30:00,2.128721439609962e-10,-1.34635882645078e-11,76.03,-7.876892501373342e-11,6.445456675557006e-11,53.12,-4.799183634954703e-11,1.9462707254536714e-11,35.01,0.8701901025766497,0.8719702339357213,8,-0.0575484409241634,-0.47695581480819027,-100,-0.5645658125683749,-0.74913768542105,100,0.46257551071074265,0.7208446533030649,-91,-0.5484140223227982,-0.6218250936675553,69,0.2237018147821261,0.4148239020310972,-100
2024-03-01 12:00:00,2024-03-01 15:00:00,2.2130909081394044e-10,-1.4264242387304478e-11,63.19,-1.0677281962993326e-10,5.232016554015565e-11,34.23,-2.232586232116462e-11,2.0856995278644174e-11,9.15,0.7932232748592322,0.7934378534907341,-2,-0.054382844353308764,-0.47896822769019254,-100,-0.5240218440424427,-0.6133161671997356,100,0.2618315802920196,0.6184468891460001,-92,-0.2216051852975838,-0.3257745448138142,66,0.20653104902648897,0.3142885311745023,-100
2024-03-01 13:30:00,2024-03-01 16:30:00,2.1699318486865976e-10,-9.803283263168418e-12,71.18,-1.366981256996217e-10,5.0901312026045024e-11,49.89,1.4621428002090942e-11,4.344863132493327e-11,11.45,0.842814075175473,0.842921735699483,-2,-0.0376617832182274,-0.44092952566295707,-100,-0.6620918113984797,-0.7007130342458833,86,0.24584688297424664,0.5762511214848599,-100,0.10837112991801202,0.1887200589168423,-100,0.3205204292134235,0.34169144527206,33
