window_start,window_end,P_coef_N,H_coef_N,var_red_N,P_coef_E,H_coef_E,var_red_E,P_coef_Z,H_coef_Z,var_red_Z,cc_zero_N_P,cc_max_N_P,cc_lag_N_P,cc_zero_N_H,cc_max_N_H,cc_lag_N_H,cc_zero_E_P,cc_max_E_P,cc_lag_E_P,cc_zero_E_H,cc_max_E_H,cc_lag_E_H,cc_zero_Z_P,cc_max_Z_P,cc_lag_Z_P,cc_zero_Z_H,cc_max_Z_H,cc_lag_Z_H
2024-03-01 06:00:00,2024-03-01 09:00:00,-1.562061168626338e-10,1.7198157348224937e-09,26.79,-2.6989639555731127e-10,1.0827054064607635e-09,54.6,5.002555188828725e-10,-5.471473028050162e-11,63.73,-0.04943972391011091,-0.2350202139796002,100,0.5154933426355225,0.5283181079545808,-46,-0.1821654258122773,-0.4718026600087249,100,0.7169738813771622,0.7380950433327111,-48,0.7941448684498514,0.7947303578847036,8,-0.08527853724894413,-0.38137303696590574,-100
2024-03-01 07:30:00,2024-03-01 10:30:00,-3.103302224538874e-09,5.19088000961041e-10,70.33,-1.2890003918349785e-09,4.125716802427763e-10,43.16,-7.623647270986165e-10,-5.561459781148007e-10,12.36,-0.8271682344176658,-0.8459934521169958,37,0.14139325731979668,0.5146979621999869,-100,-0.6257807426767973,-0.6863514430259986,79,0.20246941287279102,0.43674943541339434,-100,-0.28353663569633714,-0.34401614372757017,-100,-0.2066590524385521,-0.3021609271140495,100
2024-03-01 00:00:00,2024-03-01 03:00:00,-3.337332818503272e-09,-9.190801187498574e-10,4.46,-1.6917006490340109e-09,-3.890853040204769e-10,3.78,2.1392130526189737e-10,-6.550476669538805e-10,11.04,-0.20202709238699554,-0.2156763646409796,-100,-0.0618889132477402,-0.11623672907902395,100,-0.18829844347386976,-0.1953527130257608,-100,-0.049698978677440275,-0.10224987851929772,100,0.10291757083432407,0.2157078648289721,100,-0.31568184751887424,-0.32899761334293104,-77
2024-03-01 03:00:00,2024-03-01 06:00:00,-1.3942318291563528e-09,-2.7570530659265256e-10,25.74,-2.502832374879444e-10,2.1823941422783764e-10,7.75,-6.82132909831347e-10,1.5221702154761112e-10,62.38,-0.4977560789053347,-0.5040360059822991,-49,-0.09818875403152785,-0.26641370760672684,100,-0.20967904159222778,-0.3027424713040764,100,0.1832284023051805,0.20143258271196693,-76,-0.7708552701755572,-0.7943301369169782,58,0.1722513613723263,0.4427141436481231,-100
2024-03-01 01:30:00,2024-03-01 04:30:00,1.8270112505548988e-10,-4.4947611951657566e-10,7.45,-3.007976113546075e-10,1.9021730404481066e-10,14.8,-3.574090685987256e-10,-1.344860429211584e-10,11.43,0.09985633252499343,0.17161516142197084,100,-0.252055807220933,-0.28353532284878064,-100,-0.32364149200293496,-0.4032805712833032,93,0.20198369558134183,0.29903063672447844,-100,-0.3202875016143718,-0.33757326047380837,-62,-0.11466783517636359,-0.25320810865792825,100
2024-03-01 04:30:00,2024-03-01 07:30:00,-9.092288550655084e-10,7.349040534630987e-11,10.09,-1.1276066519432664e-10,3.353764259094528e-10,8.26,-4.672555296208836e-10,1.0610054485919725e-10,32.79,-0.3165894261270474,-0.3191229111435732,45,0.02249494909307716,0.11597168866664538,-100,-0.08941827066818367,-0.2170987080878071,100,0.27224610064587124,0.27286744827866727,12,-0.5583782500231185,-0.5775664975213766,69,0.12144868274375209,0.3113775484958657,-100
2024-03-01 10:30:00,2024-03-01 13:30:00,-5.499248144501753e-12,-2.6255177591116187e-11,0.06,-3.284939776955744e-10,3.33707062629592e-10,32.37,-1.3437196701218853e-10,7.898981550151691e-11,39.06,-0.004977166129803377,0.04445819806749452,-100,-0.02296745743311538,-0.07619059820381435,100,-0.40000044617288755,-0.5728538117727974,100,0.405271918463117,0.5066293696607826,-100,-0.539233285638055,-0.6403377196451634,100,0.31683841598043366,0.49782732299934895,-100
2024-03-01 09:00:00,2024-03-01 12:00:00,-1.048344289871196e-09,1.3505631271720588e-10,18.45,-7.382777553334156e-10,3.24816513043544e-10,21.87,-9.536269258251644e-10,-2.598739590674116e-10,17.4,-0.4256831757579749,-0.4370565470140598,37,0.05996860035095207,0.2558310703019087,-100,-0.4257418090458192,-0.49253521381911697,99,0.19538395643905876,0.3392912922195259,-100,-0.40174641130994176,-0.41264815905530694,-59,-0.11044373384512211,-0.2617271539350614,100
2024-03-01 12:00:00,2024-03-01 15:00:00,7.230310626688959e-10,2.8058982226846594e-10,18.61,-5.13887058154067e-10,5.083160772124643e-10,30.91,1.277313005688927e-10,-8.0375743340867e-11,12.44,0.4033715900561616,0.4700392889063703,-100,0.1571406931841604,0.2817333151806145,100,-0.39621134894865967,-0.5651608991951975,100,0.3858438794154268,0.47405119122099704,-100,0.29799431770572826,0.31480974594894734,100,-0.18542971636414526,-0.30119147596193047,-100
2024-03-01 16:30:00,2024-03-01 19:30:00,-3.236117877069416e-10,4.864883894738916e-10,14.53,1.1540574536746405e-09,2.3900054646820485e-10,42.25,6.219401580691722e-10,-7.847713663140495e-10,19.95,-0.210081515704557,-0.3612369723539298,100,0.31754434333462417,0.3529514155349687,-81,0.6364654276254361,0.6624518651168922,-55,0.1335607589114911,0.39337866546952666,100,0.27632447460366855,0.36387247917438525,100,-0.35018021413888245,-0.47120198492291454,-100
