window_start,window_end,P_coef_N,H_coef_N,var_red_N,P_coef_E,H_coef_E,var_red_E,P_coef_Z,H_coef_Z,var_red_Z,cc_zero_N_P,cc_max_N_P,cc_lag_N_P,cc_zero_N_H,cc_max_N_H,cc_lag_N_H,cc_zero_E_P,cc_max_E_P,cc_lag_E_P,cc_zero_E_H,cc_max_E_H,cc_lag_E_H,cc_zero_Z_P,cc_max_Z_P,cc_lag_Z_P,cc_zero_Z_H,cc_max_Z_H,cc_lag_Z_H
2024-03-04 03:00:00,2024-03-04 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 01:30:00,2024-03-04 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 00:00:00,2024-03-04 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 07:30:00,2024-03-04 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 04:30:00,2024-03-04 07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 09:00:00,2024-03-04 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 06:00:00,2024-03-04 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 12:00:00,2024-03-04 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 10:30:00,2024-03-04 13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 13:30:00,2024-03-04 16:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 16:30:00,2024-03-04 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 15:00:00,2024-03-04 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 19:30:00,2024-03-04 22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 22:30:00,2024-03-05 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 21:00:00,2024-03-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 18:00:00,2024-03-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 03:00:00,2024-03-05 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 01:30:00,2024-03-05 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 04:30:00,2024-03-05 07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 00:00:00,2024-03-05 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 06:00:00,2024-03-05 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 10:30:00,2024-03-05 13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 09:00:00,2024-03-05 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 12:00:00,2024-03-05 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 07:30:00,2024-03-05 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 15:00:00,2024-03-05 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 13:30:00,2024-03-05 16:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 16:30:00,2024-03-05 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 18:00:00,2024-03-05 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 19:30:00,2024-03-05 22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
